No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
5167,OPXS,Optex Systems Holdings Inc,Industrials,Aerospace & Defense,USA,35.87M,15.66,5.29,2.32%,"23,534"
5212,CVU,CPI Aerostructures Inc,Industrials,Aerospace & Defense,USA,32.12M,3.41,2.54,0.60%,"32,382"
5266,ASTR,Astra Space Inc,Industrials,Aerospace & Defense,USA,28.76M,-,1.58,3.95%,"168,736"
5435,KITT,Nauticus Robotics Inc,Industrials,Aerospace & Defense,USA,19.33M,-,0.39,1.87%,"497,836"
5458,SIF,SIFCO Industries Inc.,Industrials,Aerospace & Defense,USA,18.49M,-,3.03,-0.05%,"5,836"
5493,DPRO,Draganfly Inc,Industrials,Aerospace & Defense,Canada,17.01M,-,0.39,0.15%,"136,230"
5614,ASTC,Astrotech Corp,Industrials,Aerospace & Defense,USA,12.26M,-,7.21,-0.69%,"1,344"
5620,SIDU,Sidus Space Inc,Industrials,Aerospace & Defense,USA,12.02M,-,8.01,-6.64%,"134,637"
5622,AIRI,Air Industries Group,Industrials,Aerospace & Defense,USA,11.95M,-,3.62,4.38%,"15,678"
5842,KWE,KWESST Micro Systems Inc.,Industrials,Aerospace & Defense,Canada,5.82M,-,1.43,-2.05%,"25,148"
5873,MNTS,Momentus Inc,Industrials,Aerospace & Defense,USA,5.07M,-,0.77,5.89%,"584,254"
5998,PRZO,ParaZero Technologies Ltd,Industrials,Aerospace & Defense,Israel,2.48M,-,0.69,4.53%,"211,864"
6019,AULT,Ault Alliance Inc,Industrials,Aerospace & Defense,USA,2.14M,-,0.76,-5.31%,"826,786"
8085,HOVR,New Horizon Aircraft Ltd,Industrials,Aerospace & Defense,Canada,-,11.39,1.82,-23.21%,"215,715"
